Адрес/Регистр,Значение
Память 990,0
Память 991,0
Память 992,0
Память 993,0
Память 994,0
Память 995,0
Память 996,0
Память 997,0
Память 998,0
Память 999,0
Память 1000,0
Память 1001,0
Память 1002,0
Память 1003,0
Память 1004,0
Память 1005,0
Память 1006,0
Память 1007,0
Память 1008,0
Память 1009,0
Память 1010,0
Память 1011,0
Память 1012,0
Память 1013,0
Память 1014,0
Память 1015,0
Память 1016,0
Память 1017,0
Память 1018,0
Память 1019,0
Память 1020,0
Память 1021,0
Память 1022,0
Память 1023,0
